Frame,Tracking_ID,Class,X_Center,Y_Center,Width,Height
14,1715,person,1048.66,525.74,42.79,100.55
14,1716,traffic light,203.05,331.82,26.0,103.5
14,1717,person,819.5,529.83,40.45,116.07
14,1718,motorcycle,466.4,575.67,65.34,104.42
14,1719,traffic light,1004.73,367.9,25.9,73.69
14,1720,traffic light,1003.2,349.57,23.58,37.76
14,1721,person,674.14,491.26,19.64,57.88
14,1763,bicycle,828.22,559.79,43.51,61.69
14,1768,bicycle,728.97,522.0,37.57,63.54
14,1724,person,474.53,536.41,58.45,154.01
14,1723,person,1152.85,527.31,23.54,87.97
15,1706,traffic light,843.47,251.5,29.25,97.08
15,1707,person,395.65,531.76,62.0,164.44
15,1708,person,285.16,547.08,53.91,137.08
15,1709,traffic light,113.27,160.69,36.12,78.25
15,1710,person,872.24,542.38,36.23,97.63
15,1711,person,1120.55,520.59,41.39,112.92
15,1713,person,1167.96,535.85,38.97,111.71
15,1714,person,715.09,507.86,28.1,89.16
15,1715,person,1048.48,525.27,43.2,101.65
15,1716,traffic light,202.98,332.08,26.03,103.75
15,1717,person,819.78,530.0,40.52,116.38
15,1718,motorcycle,465.9,575.35,65.93,105.37
15,1719,traffic light,1004.63,367.9,25.88,73.73
15,1720,traffic light,1003.02,350.82,25.33,40.78
15,1721,person,674.23,491.28,19.9,58.1
15,1763,bicycle,828.54,560.18,42.94,60.85
15,1768,bicycle,728.45,522.07,38.0,64.21
15,1724,person,474.92,537.0,57.74,151.68
16,1706,traffic light,843.43,251.51,29.28,97.09
16,1707,person,396.26,531.59,60.91,161.7
16,1708,person,285.46,547.07,54.0,137.19
16,1709,traffic light,113.24,160.66,36.06,77.87
16,1710,person,872.95,542.42,36.02,96.99
16,1711,person,1120.08,520.66,40.89,111.67
16,1713,person,1167.82,535.82,39.13,111.59
16,1714,person,715.33,508.29,27.74,88.14
16,1715,person,1048.39,525.3,43.11,101.55
16,1716,traffic light,203.14,332.14,26.04,103.84
16,1717,person,820.48,530.61,40.36,115.48
16,1718,motorcycle,465.71,575.4,65.65,104.62
16,1719,traffic light,1004.65,368.13,26.02,74.31
16,1720,traffic light,1002.96,351.03,25.57,41.34
16,1721,person,674.01,491.42,20.03,58.12
16,1763,bicycle,828.91,560.13,43.19,61.19
16,1768,bicycle,727.68,522.64,37.65,63.48
16,1724,person,474.06,536.24,57.17,149.45
16,1712,person,512.23,541.57,51.33,151.32
